RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11470,양천구,10300,신월동,1,대지,1075,0000,목동센트럴아이파크위브1단지,2025-02-28,114000,84.96,0.0,6.0,,,2020,아파트,중개거래,서울 양천구
2025,11110,종로구,16700,충신동,,,,,,2025-02-28,17500,80.33,50.0,0.0,,,1978,단독다가구,직거래,
2025,11710,송파구,10200,신천동,1,대지,0007,0025,월드타워빌딩,2025-02-28,1050000,837.21,837.21,19.0,,,1996,오피스텔,직거래,
2025,11680,강남구,10600,대치동,1,대지,0917,0022,에오스빌(917-22),2025-02-28,52000,53.56,25.0,5.0,,,2002,연립다세대,직거래,
2025,11380,은평구,10800,역촌동,1,대지,0048,0045,금호타운(48-45),2025-02-28,23000,57.25,26.0,3.0,,,2002,연립다세대,중개거래,서울 은평구
2025,11545,금천구,10200,독산동,1,대지,1155,0000,금천롯데캐슬골드파크3차,2025-02-28,88700,59.968,0.0,12.0,,,2018,아파트,중개거래,서울 금천구
2025,11590,동작구,10700,사당동,1,대지,0233,0006,반석,2025-02-28,28000,49.18,26.0,-1.0,,,1991,연립다세대,중개거래,서울 동작구
2025,11470,양천구,10300,신월동,1,대지,0464,0007,동화빌라(464-7),2025-02-28,13000,32.76,28.0,-1.0,,,1991,연립다세대,중개거래,서울 양천구
2025,11290,성북구,13400,길음동,1,대지,1288,0000,래미안길음센터피스,2025-02-28,104000,59.97,0.0,6.0,,,2019,아파트,중개거래,서울 성북구
2025,11590,동작구,10900,신대방동,1,대지,0632,0030,에덴빌,2025-02-28,19500,27.58,24.0,4.0,,,2013,연립다세대,직거래,
2025,11560,영등포구,10300,영등포동2가,1,대지,0321,0002,더리버캐슬,2025-02-28,33500,50.16,64.24,8.0,,,2017,오피스텔,직거래,
2025,11170,용산구,12500,한강로2가,1,대지,0422,0000,래미안 용산 더 센트럴,2025-02-28,140000,71.71,97.9964,19.0,,,null,오피스텔,중개거래,서울 용산구
2025,11710,송파구,11300,거여동,1,대지,0605,0000,휴먼빌 시티,2025-02-27,18000,23.138,34.0001,10.0,,,2020,오피스텔,중개거래,경기 하남시
2025,11500,강서구,10300,화곡동,1,대지,0842,0020,(842-20),2025-02-27,13500,34.67,25.0,2.0,,,1986,연립다세대,직거래,
